,Name,Link,Opening Date,Latitude,Longitude
0,100 AM[1],,,1.28155949555229,103.847208361003
1,313@Somerset[2],,,1.30101436404056,103.838360664485
2,Aperia,,,1.3097112065077,103.864326436447
3,Balestier Hill Shopping Centre,,,1.32559594839311,103.842571612968
4,Bugis Cube[3],,,,
5,Bugis Junction,/wiki/Bugis_Junction,"September 8, 1995; 28 years ago (1995-09-08)",1.2991371723215,103.855450325604
6,Bugis+,/wiki/Bugis%2B,1 June 2009 (as Iluma),1.30095171530648,103.855172625542
7,Capitol Piazza,/wiki/Capitol_Piazza,March 2015,1.29307884763132,103.851261982149
8,Cathay Cineleisure Orchard,/wiki/Cathay_Cineleisure_Orchard,1997,1.30149264852924,103.836406753067
9,Clarke Quay Central,,,,
10,The Centrepoint,/wiki/The_Centrepoint,May 1983,1.30145045537088,103.840034074858
11,City Square Mall,/wiki/City_Square_Mall_(Singapore),19 September 2009; 14 years ago (2009-09-19)[1],1.31142103107683,103.856624019991
12,City Gate Mall[4],,,,
13,CityLink Mall,/wiki/CityLink_Mall,1 July 2000; 23 years ago (2000-07-01),1.2927777312893,103.854173501417
14,Duo,/wiki/DUO,,1.29953434891664,103.85840168774
15,Far East Plaza,/wiki/Far_East_Plaza,1982; 42 years ago (1982),1.30738819608479,103.833803262332
16,Funan,"/wiki/Funan,_Singapore",28 June 2019; 4 years ago (2019-06-28) (soft opening) 27 December 2019; 4 years ago (2019-12-27) (official opening),1.29134759697794,103.849989790085
17,Great World City,/wiki/Great_World_City,"October 16, 1997; 26 years ago (1997-10-16) (Soft opening)November 28, 1997; 26 years ago (1997-11-28) (Official opening)",1.2934759620704,103.831975865363
18,HDB Hub,/wiki/HDB_Hub,,1.33201387005935,103.84984949662
19,Holland Village Shopping Mall,"/wiki/Holland_Village,_Singapore",,,
20,ION Orchard,/wiki/ION_Orchard,21 July 2009; 14 years ago (2009-07-21) (operational)23 October 2009; 14 years ago (2009-10-23) (official),1.30419142102398,103.831510144742
21,Junction 8,/wiki/Junction_8_Shopping_Centre,27 November 1993; 30 years ago (1993-11-27) (Soft opening)22 January 1994; 30 years ago (1994-01-22) (Official opening),1.3504812534505,103.848760473211
22,Knightsbridge[5],,,,
23,Liat Towers,/wiki/Liat_Towers,"September 11, 1965; 58 years ago (1965-09-11)[1]",1.30508722710852,103.830722581168
24,Lucky Plaza,/wiki/Lucky_Plaza,"1977 (Podium),[1] 1981 (Apartment)",1.30448579105197,103.833941935117
25,Marina Bay Sands,/wiki/Marina_Bay_Sands,27 April 2010; 13 years ago (2010-04-27) (soft opening)23 June 2010; 13 years ago (2010-06-23) (official opening)17 February 2011; 13 years ago (2011-02-17) (grand opening),1.28342297945301,103.86079514091
26,The Shoppes at Marina Bay Sands[6],,,,
27,Marina Bay Link Mall,/wiki/Marina_Bay_Link_Mall,,1.28019533269189,103.854207695749
28,Marina Square,/wiki/Marina_Square,1985,1.29159480494333,103.857048715656
29,Millenia Walk,/wiki/Millenia_Walk,,1.29267926922552,103.860302888543
30,Mustafa Shopping Centre,/wiki/Mustafa_Centre,April 1995; 28 years ago (1995-04),,
31,Ngee Ann City,/wiki/Ngee_Ann_City,21 September 1993; 30 years ago (1993-09-21),1.3022727300848,103.834899517575
32,One Holland Village,,,1.3123621720005,103.793301226982
33,Orchard Central,/wiki/Orchard_Central,2 July 2009; 14 years ago (2009-07-02),1.30083890839245,103.839434733899
34,Orchard Gateway,/wiki/Orchard_Gateway,26 April 2014; 9 years ago (2014-04-26),1.30160116957544,103.838868886519
35,Orchard Plaza[7],,,,
36,Midpoint Orchard[8],,,,
37,Palais Renaissance,/wiki/Palais_Renaissance,1993,1.30665484543191,103.829588045188
38,People's Park Centre,/wiki/People%27s_Park_Centre,1973; 51 years ago (1973),1.28564781446701,103.843861556498
39,People's Park Complex,/wiki/People%27s_Park_Complex,1973; 51 years ago (1973),1.28404487854559,103.842590753293
40,Plaza Singapura,/wiki/Plaza_Singapura,14 September 1974; 49 years ago (1974-09-14) (original soft opening)16 August 1975; 48 years ago (1975-08-16) (original official opening)4 December 1998; 25 years ago (1998-12-04) (refurbished opening),1.30082071769235,103.845067272938
41,PoMo,,,,
42,Raffles City,/wiki/Raffles_City_Singapore,,1.29408304748297,103.853339531257
43,Scotts Square[9],,,,
44,Shaw House and Centre,/wiki/Shaw_House_and_Centre,1993,,
45,Sim Lim Square,/wiki/Sim_Lim_Square,January 1987; 37 years ago (1987-01),1.3030242605718,103.853037814067
46,Singapore Shopping Centre,,,1.28649701803051,103.844628721032
47,The South Beach,"/wiki/South_Beach,_Singapore",,1.29498804392056,103.856276242094
48,Square 2,/wiki/Square_2_(shopping_mall),,1.27822949964567,103.850812513482
49,Sunshine Plaza[10],,,1.30046735366415,103.850556061949
50,Suntec City,/wiki/Suntec_City,,1.29350132535558,103.857307495824
51,Tanglin Mall[11],,,,
52,Tanjong Pagar Centre,/wiki/Tanjong_Pagar_Centre,,1.2755961982077,103.842393171342
53,Tekka Centre,/wiki/Tekka_Centre,1982; 42 years ago (1982),1.30671098278725,103.85013440636
54,The Adelphi,,,1.29118503658447,103.851184338699
55,The Paragon,"/wiki/The_Paragon,_Singapore",1998,1.30375855987932,103.835240308481
56,Tiong Bahru Plaza,/wiki/Tiong_Bahru_Plaza,November 1994,1.28633177192832,103.827550771424
57,The Poiz[12],,,1.33154468020698,103.866996465418
58,Thomson Plaza,/wiki/Thomson_Plaza,1979,1.35436282723449,103.83030941613
59,United Square[13],,,,
60,Thomson V,,,1.35319495337208,103.835564729862
61,Velocity@Novena Square,/wiki/Novena_Square_Shopping_Mall,,1.31978949204523,103.844033569199
62,Wheelock Place,/wiki/Wheelock_Place,1993,1.30467628730252,103.830642027577
