remaining_lease,sora,resale_price_per_sqm
0.48936176,0.44404513,4016.3936
0.17021275,0.25503767,6722.689
0.9574468,0.7236331,7536.232
0.80851066,0.26346982,6918.1816
0.89361703,0.7575484,8444.444
0.7234043,-9.403225e-09,4144.144
0.46808517,0.25503767,3074.7664
0.19148934,0.5649631,4957.9834
0.3191489,0.25503767,4179.1045
0.40425527,0.06855699,4964.539
0.44680846,0.44584596,4338.2354
0.2765957,0.42380965,5074.627
0.40425527,0.49539864,4666.6665
0.6808511,0.26346982,3494.5056
0.87234044,0.49539864,7590.909
0.38297868,0.44404513,4294.1177
0.38297868,0.3881343,4451.2197
0.23404253,0.25503767,4450.5493
0.38297868,0.25503767,3880.597
0.25531912,0.46655273,6020.408
0.9361702,0.3881343,8828.571
0.9148936,0.42380965,8236.842
0.46808517,0.49539864,4417.4756
0.57446814,-9.403225e-09,3357.6643
0.46808517,0.54601806,3528.0
0.46808517,0.49539864,5769.231
0.7659575,0.46655273,4345.4546
0.9574468,-9.403225e-09,5108.696
0.40425527,-9.403225e-09,3750.0
0.6808511,0.3881343,3743.1372
0.6382979,0.6445783,3571.4285
0.78723407,0.8013919,6836.8286
0.2978723,0.54601806,5441.1763
0.42553186,0.149581,4253.7314
0.89361703,0.18398537,5908.8887
0.9787235,0.7236331,4397.0586
0.23404253,0.25503767,5182.927
0.38297868,0.6445783,4166.6665
0.38297868,0.54601806,4142.857
0.7021277,0.47729588,3529.4119
0.6595745,0.12515052,3826.923
0.3191489,0.46655273,5123.457
0.9787235,0.6445783,4411.7646
0.40425527,0.06855699,4527.027
0.10638296,0.6445783,5969.014
0.38297868,-9.403225e-09,3904.1096
0.7446809,0.6445783,3693.6936
0.7234043,0.18398537,3663.7932
0.7021277,0.18398537,4425.1133
0.2765957,0.12515052,5304.878
0.38297868,0.3881343,4615.385
0.38297868,0.44584596,5113.636
0.38297868,0.18398537,4564.0
0.44680846,0.7236331,7109.375
0.82978725,0.26346982,4294.1177
0.48936176,0.06855699,3317.3076
0.9787235,0.8211722,5237.1133
1.0,0.54601806,5406.78
0.7021277,0.46655273,3663.3665
0.5957447,0.54601806,4219.178
0.46808517,0.25503767,3698.6301
0.7659575,0.12515052,4260.8696
0.40425527,0.6445783,4033.0579
0.085106365,0.49539864,3955.2239
0.6382979,0.3881343,4638.6553
0.42553186,0.47729588,6072.289
0.7659575,0.18398537,3547.8262
0.2765957,0.49539864,4080.0
0.6170213,0.44584596,3357.1428
0.6595745,0.7575484,4017.094
0.82978725,0.54601806,5301.724
0.2765957,0.65796775,4634.1465
