coef_remaining_lease,coef_sora,bias,Pred_resale_price_per_sqm,id
-912.8776,1979.8695,3023.6309,2654.5952,66
-695.9971,1417.2411,2753.5356,2652.044,9
-708.21765,2312.9749,3239.3606,3603.2292,76
-738.02844,1951.1843,3037.3105,3323.55,58
-859.5557,2934.9612,3552.7708,4442.0645,94
-705.74506,1946.3639,3040.0955,3844.2036,35
-936.7183,2812.0508,3472.894,3107.3372,97
-708.1615,2308.861,3237.1294,2724.8423,33
-742.00995,1835.0593,2973.3945,3677.2437,57
-843.6415,2806.7424,3485.6016,4708.9116,18
-927.3867,2794.9556,3465.1465,3431.9993,54
-701.12335,1792.982,2957.3289,3410.3909,10
-699.1487,1648.2493,2878.829,2709.1936,77
-696.653,1465.3174,2779.611,3182.553,48
-708.7764,2353.9312,3261.5745,4271.2607,95
-1031.0822,2300.5422,3178.4795,2877.7942,6
-991.4969,2920.9883,3523.0476,3174.4482,7
-699.7393,1691.5372,2902.3074,2979.0103,72
-943.9864,2830.0298,3481.4683,5002.7236,32
-705.91876,2076.3884,3110.886,3087.2087,30
-765.32825,1538.9827,2808.2246,2789.1426,64
-1083.2424,2215.669,3123.5103,3181.5396,61
-708.7704,2353.4897,3261.335,4084.653,24
-1032.7515,2996.974,3557.5203,4017.5986,65
-731.17004,2263.1125,3208.356,4269.387,73
-720.6312,2010.2451,3072.3945,2658.4148,47
-777.1427,1907.3024,3006.8545,3750.647,81
-699.3128,1660.2743,2885.351,3261.9387,69
-710.18463,2457.1504,3317.558,3999.2769,36
-707.9561,1955.8522,3044.893,3078.1885,88
-904.1745,2834.1416,3490.38,3319.1628,3
-910.2105,1985.9908,3027.412,3201.5884,67
-898.8249,2765.3481,3453.8074,4892.06,19
-706.4134,2180.7263,3167.632,3689.0635,46
-718.49884,2422.7087,3297.4055,4161.2935,11
-749.8404,1886.7874,3000.2563,3060.2246,56
-707.9704,2294.8518,3229.5312,3977.4114,42
-1041.1505,2233.0027,3140.0056,3384.3423,93
-706.9045,1857.063,2991.2625,2757.4187,62
-699.2775,1657.6921,2883.9507,3645.6562,41
-742.77155,2533.929,3353.915,4346.4824,96
-708.1436,1956.6566,3045.2998,3691.7969,68
-710.89386,2509.1328,3345.7522,3713.4185,40
-733.053,1823.6633,2968.6885,3262.2258,15
-1085.8279,2280.7063,3158.5005,2783.496,43
-702.82587,1917.7727,3025.0122,3566.015,12
-702.1678,1869.5372,2998.8506,3920.0586,79
-834.91724,2371.402,3249.95,4153.966,85
-799.1239,2432.609,3289.2856,3535.6345,90
-695.79266,1402.2567,2745.4084,3575.2522,17
-1051.2631,3034.569,3574.8945,4748.0566,8
-699.24884,1655.5859,2882.8083,2832.9,34
-990.9079,2252.2964,3158.9346,2856.497,78
-768.81647,2122.6292,3125.5305,4318.0215,99
-705.96735,2148.034,3149.9006,3679.4692,25
-773.12616,1704.1105,2896.8567,3445.1716,13
-823.84436,2488.6648,3315.6743,4725.2637,59
-702.01434,1858.2921,2992.7515,3629.5537,55
-696.8644,1480.8135,2788.0159,3181.3464,89
-716.05475,2490.1892,3334.5693,4766.4844,16
-696.82007,1477.5624,2786.2524,3385.4648,49
-772.95996,1778.4945,2937.3987,3477.3442,31
-696.05664,1421.6079,2755.9043,2852.9685,26
-737.86816,1911.053,3015.4795,2732.8916,38
-699.4649,1671.425,2891.3992,3701.7527,4
-834.8965,2500.0134,3320.0032,4167.704,28
-810.8333,2494.135,3320.8342,3818.9185,0
-704.97504,1943.0594,3038.425,2855.9387,98
-1039.431,3021.9702,3570.0151,2574.8152,5
-703.13226,1940.228,3037.1917,3468.387,75
-1047.0771,3052.4556,3585.3381,5067.131,50
-775.23883,1654.1542,2869.293,3109.7258,27
-791.55786,1911.221,3006.573,3850.6626,83
-718.1084,2035.831,3086.753,3208.715,70
-1018.4934,2300.166,3180.3843,3528.6426,80
-895.78107,2760.6174,3451.7407,4320.427,45
-707.5578,1929.494,3030.6035,3309.0234,22
-893.7824,2780.6375,3462.98,4817.9355,39
-955.1864,2229.57,3152.543,4004.1125,44
-1022.80145,2964.746,3541.6345,4031.1697,53
-696.6497,1465.0792,2779.482,3835.0059,71
-695.96124,1414.6155,2752.1116,3524.0435,63
-841.03235,2529.9246,3335.2664,3925.0977,23
-782.4723,2383.0645,3265.0913,4201.8223,51
-755.72925,1925.701,3020.4644,3808.6687,29
-891.74677,1842.9181,2952.5798,4220.773,52
-944.02563,2838.176,3485.8987,4304.2925,86
-723.1574,2577.0667,3380.698,4483.5137,2
-851.21277,2723.9146,3439.2195,5223.7026,91
-924.8919,2184.487,3133.065,3334.719,20
-696.3129,1440.3947,2766.0935,2658.4775,37
-809.898,2634.1555,3397.2551,4069.064,74
-1041.8097,3030.8413,3574.4485,2956.2825,87
-706.1673,1996.7732,3067.481,2945.4648,84
-702.2524,1875.7367,3002.213,4429.703,14
-847.27045,2702.4917,3428.212,3049.6443,21
-759.5668,2390.1096,3272.7673,5081.081,92
-857.5918,2752.0127,3453.4543,4260.7554,82
-874.0124,1741.5925,2900.364,3628.1528,60
-711.4193,1754.4708,2934.6277,3710.9614,1
