coef_remaining_lease,coef_sora,bias,Pred_resale_price_per_sqm,id
263.035,283.24646,3257.8884,3591.3464,61
370.79956,472.40057,4217.9287,4919.8716,33
393.9987,748.36285,5003.714,5833.301,5
354.6524,392.1222,3935.5085,4278.5107,79
342.584,456.72256,4173.984,4507.2974,3
389.47705,339.39157,3729.6794,4259.11,32
300.51675,236.39381,3253.1643,3510.3342,13
435.95273,773.3842,5170.8496,5896.5996,78
367.22052,426.70987,4054.6782,4258.3994,19
411.5993,440.86032,4085.8813,4497.983,38
511.01422,734.14276,5009.7534,5481.8267,40
354.01065,493.48508,4301.511,4680.34,11
272.2336,271.74808,3256.729,3516.2974,76
446.86743,435.44785,4050.577,4551.942,89
346.52957,461.8526,4190.728,4466.08,65
335.92014,360.0314,3828.105,4340.1,96
230.81902,323.51688,3261.9487,3525.8154,59
497.21262,597.1508,4560.757,5344.33,35
387.21265,296.27762,3575.138,3958.1753,28
259.5479,287.60535,3258.328,3574.8125,66
269.37973,275.31546,3257.0886,3534.494,68
339.27417,459.08777,4183.998,4296.2515,0
288.95615,250.84471,3254.6213,3571.171,69
488.3365,610.4872,4614.1826,4786.889,30
444.43503,793.20795,4925.739,5401.172,7
463.84784,504.6717,4292.7397,4654.2803,81
330.46616,198.95667,3249.3896,3550.726,9
445.23138,768.4117,5148.1577,5648.3784,41
392.39694,648.1381,4682.489,5074.1953,75
378.6521,319.3251,3662.122,4029.8801,55
241.09674,310.66956,3260.6533,3496.0427,36
447.08075,795.917,4922.9893,5400.1533,24
353.28348,453.61182,4157.9746,4462.1353,31
330.46616,198.95667,3249.3896,3621.4448,8
381.04745,478.52765,4235.4507,4670.539,43
445.14996,791.2167,4914.7607,5347.498,93
330.46616,198.95667,3249.3896,3601.6052,62
332.38593,255.65352,3453.0923,3571.8015,50
422.44022,435.2556,4060.8103,4553.045,42
249.72203,299.88788,3259.5664,3684.6768,46
330.46616,198.95667,3249.3896,3449.6277,64
393.7236,455.9155,4148.1963,4482.033,58
320.8271,211.00565,3250.6047,3534.2456,85
320.65735,211.21777,3250.626,3466.9517,12
453.6128,502.59067,4289.8096,4646.8867,57
281.50272,260.1616,3255.5608,3611.3835,72
432.49396,431.752,4043.672,4463.5107,17
424.98364,757.82635,4887.8354,5726.606,34
443.76657,549.2561,4462.582,4861.7163,49
458.272,563.5123,4507.53,4858.863,18
478.1851,677.6716,4754.4043,5381.414,99
463.782,467.51172,4158.697,4432.4336,90
392.75616,353.24582,3778.1987,4386.2197,26
374.445,311.079,3634.2524,3904.9834,47
267.124,278.1352,3257.373,3546.8965,77
321.7362,209.86923,3250.49,3630.8994,4
439.5505,410.719,3964.6287,4296.2856,98
370.67224,510.3997,4355.086,4692.904,88
360.52084,375.0315,3871.2207,4224.6943,27
354.72543,505.09073,4343.0645,4881.9385,25
330.46616,198.95667,3249.3896,3607.9648,16
409.66257,745.46564,5111.2954,5271.5723,54
414.32062,389.54974,3899.5364,4467.506,67
443.24457,424.72684,4013.516,4606.714,6
402.36905,334.12122,3704.8972,4095.5867,56
322.89322,208.42297,3250.344,3595.8374,95
441.91174,453.9807,4119.66,4512.909,10
393.9354,351.8973,3772.806,4247.9644,97
332.41504,256.51428,3456.1848,3590.734,94
306.44833,228.97922,3252.4167,3587.5784,73
331.23523,221.67004,3330.995,3610.9182,15
384.25433,353.14352,3781.6328,4103.125,48
365.7684,334.0782,3721.1143,4110.6294,39
229.31439,325.39764,3262.1384,3635.6787,80
322.37048,209.07637,3250.4102,3647.3203,53
473.63782,498.72058,4266.8887,4757.51,44
482.38458,549.8372,4447.4043,4982.405,70
289.9689,249.57875,3254.494,3497.6504,22
329.21707,200.51802,3249.547,3613.9517,45
461.299,500.3502,4278.288,4659.8174,83
330.46616,198.95667,3249.3896,3662.6821,91
384.15546,743.35016,5102.116,5506.7085,20
355.53064,460.7405,4182.6895,4607.138,87
425.09705,496.15976,4279.363,4637.6343,74
487.2471,586.0919,4576.0356,4913.803,82
321.4173,210.26787,3250.53,3480.1138,63
422.7374,403.19217,3944.993,4321.13,2
472.9558,434.3648,4034.9995,4675.329,52
332.3605,254.90237,3450.3933,3695.9548,21
333.74188,295.6994,3596.9707,3910.7249,71
354.08722,457.1677,4170.4443,4720.349,84
391.46655,738.3776,5101.9165,6024.778,1
425.0978,388.7,3891.6497,4537.1562,14
342.5086,456.52728,4173.313,4604.173,60
431.76602,418.90292,3997.6382,4372.8345,29
249.17497,300.57166,3259.6355,3508.342,86
269.2372,275.49362,3257.1067,3449.1658,92
398.26263,546.24896,4472.0874,4741.0,37
362.0849,411.31723,4001.4392,4317.2793,51
304.2212,231.7632,3252.6975,3355.5068,23
