Title,Price,Bedrooms,Bathrooms,Floor Size
3 Room HDB in 308C Punggol Walk,"$800,000",3 Beds,2 Baths,"1,206 sqft / 112.04 sqm"
Exec HDB in 136 Pasir Ris Street 11,"$810,000",4 Beds,2 Baths,"1,560 sqft / 144.93 sqm"
5 Room HDB in 293 Yishun Street 22,"$750,000",4 Beds,2 Baths,"1,431 sqft / 132.94 sqm"
3 Room HDB in 462D Yishun Avenue 6,"$465,000",2 Beds,2 Baths,732 sqft / 68 sqm
3 Room HDB in 422 Bukit Batok West Avenue 2,"$380,000",2 Beds,2 Baths,731 sqft / 67.91 sqm
Exec HDB in 150 Mei Ling Street,"$1,300,000",4 Beds,3 Baths,"1,582 sqft / 146.97 sqm"
4 Room HDB in 26B Saint George's Lane,"$970,000",3 Beds,2 Baths,990 sqft / 91.97 sqm
Exec HDB in 637 Woodlands Ring Road,"$1,150,000",3 Beds,3 Baths,"1,528 sqft / 141.96 sqm"
4 Room HDB in 11 Haig Road,"$680,000",2 Beds,2 Baths,990 sqft / 91.97 sqm
4 Room HDB in 817B Keat Hong Link,"$588,000",3 Beds,2 Baths,990 sqft / 91.97 sqm
4 Room HDB in 142 Lorong 2 Toa Payoh,"$920,000",3 Beds,2 Baths,925 sqft / 85.94 sqm
4 Room HDB in 273A Jurong West Avenue 3,"$488,000",3 Beds,2 Baths,969 sqft / 90.02 sqm
4 Bed HDB in 781 Pasir Ris Street 71,"$890,000",4 Beds,2 Baths,"1,528 sqft / 141.96 sqm"
5 Room HDB in 770 Bedok Reservoir View,"$850,000",3 Beds,2 Baths,"1,238 sqft / 115.01 sqm"
4 Room HDB in 439B Bukit Batok West Avenue 8,"$625,000",3 Beds,2 Baths,"1,001 sqft / 93 sqm"
3 Room HDB in 28 Hoy Fatt Road,"$370,000",2 Beds,1 Bath,645 sqft / 59.92 sqm
Exec HDB in 111 Clementi Street 13,"$1,200,000",3 Beds,3 Baths,"1,582 sqft / 146.97 sqm"
5 Room HDB in 277 Toh Guan Road,"$715,000",3 Beds,3 Baths,"1,302 sqft / 120.96 sqm"
4 Room HDB in 404 Yishun Avenue 6,"$575,000",3 Beds,2 Baths,"1,119 sqft / 103.96 sqm"
3 Room HDB in 116 Pending Road,"$410,000",2 Beds,2 Baths,786 sqft / 73.02 sqm
3 Room HDB in 67 Marine Drive,"$528,000",2 Beds,2 Baths,721 sqft / 66.98 sqm
5 Room HDB in 317 Ang Mo Kio Street 31,"$908,888",4 Beds,2 Baths,"1,485 sqft / 137.96 sqm"
5 Room HDB in 79 Marine Drive,"$988,000",3 Beds,2 Baths,"1,313 sqft / 121.98 sqm"
4 Room HDB in 811A Choa Chu Kang Avenue 7,"$586,000",3 Beds,2 Baths,"1,001 sqft / 93 sqm"
4 Room HDB in 159 Bedok South Avenue 3,"$568,000",3 Beds,2 Baths,904 sqft / 83.98 sqm
5 Room HDB in 297 Yishun Street 20,"$658,000",3 Beds,2 Baths,"1,205 sqft / 111.95 sqm"
4 Room HDB in 824 Jurong West Street 81,"$470,000",3 Beds,2 Baths,"1,119 sqft / 103.96 sqm"
2 Room HDB in 76 Telok Blangah Drive,"$320,000",1 Bed,1 Bath,474 sqft / 44.04 sqm
Exec HDB in 470 Jurong West Street 41,"$940,000",3 Beds,2 Baths,"1,625 sqft / 150.97 sqm"
4 Room HDB in 132 Edgedale Plains,"$550,000",3 Beds,2 Baths,980 sqft / 91.04 sqm
5 Room HDB in 343 Tampines Street 33,"$725,000",4 Beds,2 Baths,"1,474 sqft / 136.94 sqm"
4 Room HDB in 439B Bukit Batok West Avenue 8,"$648,000",3 Beds,2 Baths,"1,001 sqft / 93 sqm"
4 Room HDB in 998A Buangkok Crescent,"$690,000",2 Beds,2 Baths,"1,012 sqft / 94.02 sqm"
4 Room HDB in 475D Upper Serangoon Crescent,"$770,000",3 Beds,2 Baths,990 sqft / 91.97 sqm
4 Room HDB in 418 Fajar Road,"$520,000",3 Beds,2 Baths,"1,119 sqft / 103.96 sqm"
5 Room HDB in 769 Bedok Reservoir View,"$798,000",3 Beds,2 Baths,"1,238 sqft / 115.01 sqm"
