,name,latitude,longitude
0,100 AM,1.27458821795426,103.84347073661
1,600 @ Toa Payoh,1.33403623894465,103.850977706475
2,Anchorpoint,1.28861469030586,103.805009964592
3,Beauty World Centre,1.34241264188642,103.776539385406
4,Beauty World Plaza,1.34180018619223,103.776259359854
5,Causeway Point,1.43590007901468,103.785795816344
6,Century Square,1.35236829566862,103.943812302253
7,Change Alley,1.2846330228498892,103.85173636919015
8,City Square Mall,1.31142103107683,103.856624019991
9,City Vibe,1.3145746182115783,103.76506910563229
10,CityLink Mall,1.2927777312893,103.854173501417
11,Eastpoint Mall,1.34270592355576,103.953024618234
12,ERA APAC Centre,1.33167653374942,103.849383945185
13,FairPrice Hub,1.32561767765205,103.678409741897
14,Forum The Shopping Mall,1.30655430501572,103.828652459744
15,Fu Lu Shou Complex,1.30151258571919,103.854497235401
16,Holland Road Shopping Centre,1.31027747574118,103.795371163103
17,Holland Piazza,1.31067976097165,103.795260908624
18,Hougang 1,1.35664284566921,103.889828868222
19,Hougang Mall,1.37248308734511,103.893788141349
20,IMM,1.33487526118006,103.746894773008
21,Jem,1.33305999269581,103.743503708169
22,KINEX,1.31461849889242,103.894738004768
23,Leisure Park Kallang,1.30192883841134,103.876208170362
24,Lot One,1.38506992325619,103.745238868238
25,Marina Bay Link Mall,1.28003113385646,103.854284863268
26,Mustafa Centre,1.31011213190394,103.855290873926
27,myVillage @ Serangoon,1.36511490572797,103.865159501442
28,Nex,1.35076935257845,103.872296143862
29,Orchard Central,1.30083890839245,103.839434733899
30,Plaza Singapura,1.30083497231103,103.845072925117
31,Queensway Shopping Centre,1.28759518939869,103.803397287789
32,The Rail Mall,1.35773050150178,103.768137724847
33,Rivervale Mall,1.39221732695142,103.904473070943
34,Rochester Mall,1.30540765569962,103.788446680148
35,Seletar Mall,1.39150192642807,103.87617162828
36,Sembawang Shopping Centre,1.44185307934021,103.824970378482
37,Sim Lim Square,1.30302298414827,103.853038663425
38,Sim Lim Tower,1.30377222122298,103.85466144692
39,The Centrepoint,1.30197836876806,103.839759023144
40,The Majestic,1.28471077015851,103.843197416212
41,The Star Vista,1.30681500712523,103.788462732266
42,Tampines 1,1.37169334607241,103.932924563561
43,Tampines Mall,1.35252737278519,103.944698751072
44,Tekka Centre,1.30671098278725,103.85013440636
45,Thomson Plaza,1.35436282723449,103.83030941613
46,Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896
47,VivoCity,1.26429316783973,103.82230469365
48,West Mall,1.35037541626109,103.74912389291
49,White Sands,1.37228761596577,103.949733905672
50,Wisma Geylang Serai,1.31649415743907,103.896788418353
51,Yew Tee Point,1.39708432396576,103.746598000147
52,313@Somerset,1.30100656917241,103.838246592796
